ID,FilterEquals_Y,Variable_A,Variable_B,Variable_C,Variable_D,Variable_E,FilterMinMax_O,FilterMinMax_P,FilterEquals_Z
3176,3,1532,33.121,10.53,181,116.75,1,1,1
3209,3,1283,35.176,11.59,153,133.98,1,1,1
3227,3,1318,32.273,11.32,176,124.61,1,1,1
3249,3,1411,38.118,9.55,125,111.63,1,1,1
3257,3,1389,27.634,10.01,139,127.24,1,1,1
3258,3,1433,29.241,13.9,133,110.9,1,1,1
3268,3,1512,37.85,12.85,166,142.56,1,1,1
3271,3,1373,35.182,12.85,134,121.95,1,1,1
3283,3,1442,35.553,12.45,117,117.32,1,1,1
3284,3,1316,35.436,10.5,138,131.29,1,1,1
3285,3,1565,36.094,11.39,176,103.7,1,1,1
3286,3,1543,32.675,10.75,166,100.25,1,1,1
3299,3,1766,31.098,12.73,143,113.55,1,1,1
3311,3,1579,32.889,16.36,109,111.27,1,1,1
3349,2,1376,28.085,12.58,153,125.93,1,1,1
3374,2,1398,32.578,13.78,135,117.83,1,1,1
3375,2,1360,29.4,13.53,163,124.81,1,1,1
3378,2,1243,28.242,10.41,170,81.33,1,1,1
3388,2,1402,29.363,13.72,160,97.59,1,1,1
3394,2,1424,31.332,12.19,122,120.41,1,1,1
3398,2,1598,35.058,12.59,118,111.68,1,1,1
3400,2,1631,28.296,15.17,112,113.37,1,1,1
3406,2,1570,28.763,10.79,130,121.68,1,1,1
3416,2,1530,28.046,13.89,114,125.98,1,1,1
3456,1,1415,22.441,18.8,186,75.75,1,1,1
3466,1,1199,29.421,13.86,179,94.68,1,1,1
3474,1,1314,20.486,14.11,205,79.68,1,1,1
3484,1,1345,18.949,17.19,176,82.7,1,1,1
3499,1,1265,24.487,16.38,140,100.35,1,1,1
3500,1,1164,25.194,13.55,201,87.24,1,1,1
3502,1,1325,25.576,16.19,147,80.01,1,1,1
3503,1,1486,22.289,14.18,131,82.47,1,1,1
3506,1,1497,24.411,13.11,183,83.45,1,1,1
3507,1,1301,27.538,12.59,144,101.09,1,1,1
3509,1,1283,28.475,11.92,174,109.23,1,1,1
3510,1,1208,23.161,18.03,157,82.08,1,1,1
3512,1,1265,25.259,15.09,147,89.3,1,1,1
3515,1,1387,29.522,11.43,130,93.06,1,1,1
3516,1,1208,24.341,13.98,122,86.75,1,1,1
3517,1,1226,24.915,11.73,161,85.1,1,1,1
3521,1,1252,26.702,14.86,156,101.32,1,1,1
3522,1,1486,22.209,13.46,141,81.74,1,1,1
3523,1,1250,26.098,11.91,111,89.04,1,1,1
3526,1,1290,26.018,14.67,127,96.77,1,1,1
3528,1,1442,25.948,11.26,113,82.55,1,1,1
3530,1,1217,22.311,14.85,128,82.04,1,1,1
3532,1,1190,22.44,14,146,79.45,1,1,1
3534,1,1241,23,12.84,120,96.75,1,1,1
